"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-139.734472619084,-139.943862296392,-139.144053819363,6501.6,0.95,-192.752841557172,-83.1089126831929,NA,NA,NA,NA,NA,NA,NA
"beta1",4.45777813072499,4.45998017999409,4.44855430641799,6512.8,0.95,3.59285338227999,5.23669154093197,0,100,-0.5,0.5,0,0,100
"sigma",23.9858065223594,23.9364284987446,23.9569784998166,9150.8,0.95,20.9130013028243,27.2953959851324,NA,NA,NA,NA,NA,NA,NA
"nu",5.38606621785604,5.06670760733002,4.6347941528337,8555.1,0.95,2.79278962111941,8.63513248287698,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.713510233693723,0.704725842446735,0.687408964921186,8944,0.95,0.485354912739323,0.960722420188603,NA,NA,NA,NA,NA,NA,NA
