"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu",107.841810566818,107.833288017782,107.285878851366,20000,0.95,101.418559170114,114.176009579471,100,99.095,99,101,0.355,1.53,98.115
"sigma",25.9552707348102,25.7663418917288,25.5545273449942,11139.7,0.95,21.4780215545701,30.6702629717677,15,100,14,16,0,0,100
"effSz",0.304854431359154,0.305275024709348,0.310356052420981,20000,0.95,0.0601545118924234,0.565922601484023,0,99.095,-0.1,0.1,0.035,5.545,94.42
