"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"zbeta0[1]",0.781842406111888,0.779159967863643,0.752966537962541,6514,0.95,0.294608379434961,1.29576597692937,NA,NA,NA,NA,NA,NA,NA
"zbeta0[2]",1.1904603649516,1.19505189222303,1.19714739678871,7302.3,0.95,0.69476855381574,1.65906432717383,NA,NA,NA,NA,NA,NA,NA
"zbeta0[3]",-0.575049573166938,-0.574216093793905,-0.565234688331581,7223.1,0.95,-1.1585332532875,-0.0207565684317182,NA,NA,NA,NA,NA,NA,NA
"zbeta0[4]",0.753624208664168,0.756481052717059,0.707960487958683,6240.6,0.95,-0.00909300435763161,1.48090707265563,NA,NA,NA,NA,NA,NA,NA
"zbeta0[5]",-0.675008104952987,-0.673342892147582,-0.669111238712562,7067.7,0.95,-1.28413456641425,-0.02888851980565,NA,NA,NA,NA,NA,NA,NA
"zbeta0[6]",-2.2853730266,-2.29075981654996,-2.3141635115433,6491.8,0.95,-2.95190530588768,-1.58865491056371,NA,NA,NA,NA,NA,NA,NA
"zbeta0[7]",-0.049654472726494,-0.0512003065784377,-0.0871297331825873,8124.3,0.95,-0.774605264669511,0.711625985703871,NA,NA,NA,NA,NA,NA,NA
"zbeta0[8]",-0.0657221242853132,-0.0675220563388172,-0.114002245803995,7826.2,0.95,-0.593991572359976,0.451447762642946,NA,NA,NA,NA,NA,NA,NA
"zbeta0[9]",-0.515027528244805,-0.51296480391515,-0.5007863627149,6443.7,0.95,-1.02734644215973,0.04065098838502,NA,NA,NA,NA,NA,NA,NA
"zbeta0[10]",-1.17429777255099,-1.17737560354696,-1.17656071563696,6030.9,0.95,-1.70795507643877,-0.626124476599404,NA,NA,NA,NA,NA,NA,NA
"zbeta0[11]",0.839018019227721,0.840471498900423,0.857388648861894,8761.9,0.95,0.333855146568887,1.34342440627747,NA,NA,NA,NA,NA,NA,NA
"zbeta0[12]",-0.381707517975732,-0.382039560271265,-0.397454743728982,8411.7,0.95,-0.963546003428503,0.233793753189741,NA,NA,NA,NA,NA,NA,NA
"zbeta0[13]",1.44741001702917,1.46019345403519,1.48565044084758,7383.9,0.95,0.627973914287815,2.22566589321329,NA,NA,NA,NA,NA,NA,NA
"zbeta0[14]",1.1725955105904,1.17148455398444,1.1593903851815,8676.5,0.95,0.644929422298966,1.74702343633386,NA,NA,NA,NA,NA,NA,NA
"zbeta0[15]",0.275850318000436,0.275639166964818,0.342534502233963,5126.6,0.95,-0.550777104418721,1.08057852718838,NA,NA,NA,NA,NA,NA,NA
"zbeta0[16]",0.37140386879934,0.369849979984494,0.365137417715631,6721.8,0.95,-0.176505879924266,0.889209018378489,NA,NA,NA,NA,NA,NA,NA
"zbeta0[17]",0.0382762788406092,0.0369084308698314,0.0165822621312781,7580.6,0.95,-0.376768981894749,0.441225363862136,NA,NA,NA,NA,NA,NA,NA
"zbeta0[18]",-0.799570201051898,-0.799984830813233,-0.809545716182065,6746.6,0.95,-1.25302996786898,-0.381707932688033,NA,NA,NA,NA,NA,NA,NA
"zbeta0[19]",0.344474581228494,0.344898656930639,0.303328830814768,8823.4,0.95,-0.523501613430854,1.2159242198284,NA,NA,NA,NA,NA,NA,NA
"zbeta0[20]",0.835288634590368,0.835693257677347,0.839151500548078,7786.6,0.95,0.265561087078304,1.37984883278994,NA,NA,NA,NA,NA,NA,NA
"zbeta0[21]",1.76606232932912,1.77234922636376,1.76273769246105,7184.1,0.95,0.942121885719523,2.54944586494081,NA,NA,NA,NA,NA,NA,NA
"zbeta0[22]",-0.635523731257291,-0.636711749525242,-0.631229454107307,8131.5,0.95,-1.08572319121861,-0.181065299535156,NA,NA,NA,NA,NA,NA,NA
"zbeta0[23]",-0.458426286136303,-0.46223923615134,-0.498693811616614,5222.8,0.95,-0.960017271398474,0.0629496252812408,NA,NA,NA,NA,NA,NA,NA
"zbeta0[24]",0.890650138001157,0.902063339612261,0.944417768926464,5334,0.95,-0.988418540519549,2.59830569019085,NA,NA,NA,NA,NA,NA,NA
"zbeta0[25]",-0.630735948272973,-0.638331272920575,-0.722766491144989,6182.2,0.95,-2.47967425119475,1.17787307623095,NA,NA,NA,NA,NA,NA,NA
"zbeta1[1]",0.7534872349579,0.746218237218402,0.758684675283174,6219.1,0.95,0.36231067101294,1.18069101005569,NA,NA,NA,NA,NA,NA,NA
"zbeta1[2]",0.61470430114459,0.644808021139205,0.684090959360584,4597.4,0.95,0.126338645253985,1.01580976751094,NA,NA,NA,NA,NA,NA,NA
"zbeta1[3]",0.605998361382164,0.63217739145518,0.66256464540644,3147.4,0.95,0.170765599276943,1.00851753724438,NA,NA,NA,NA,NA,NA,NA
"zbeta1[4]",0.729541869195704,0.727969534236322,0.746858592597472,8392.4,0.95,0.260612566642083,1.20415564906812,NA,NA,NA,NA,NA,NA,NA
"zbeta1[5]",0.674543985164509,0.688693948079265,0.725339502892301,7158.9,0.95,0.234585640854824,1.04182802383049,NA,NA,NA,NA,NA,NA,NA
"zbeta1[6]",0.796894268931558,0.77560521250938,0.763440470188509,4161.5,0.95,0.351624147491862,1.29289537138087,NA,NA,NA,NA,NA,NA,NA
"zbeta1[7]",0.722232033430706,0.724061754567336,0.734079979159043,8268.9,0.95,0.295404773052501,1.16439282175025,NA,NA,NA,NA,NA,NA,NA
"zbeta1[8]",0.785338460770444,0.770561278326225,0.753086511008963,5795.1,0.95,0.412117740649756,1.17624943951229,NA,NA,NA,NA,NA,NA,NA
"zbeta1[9]",0.693920732977697,0.703494280585278,0.741981497152162,6669.9,0.95,0.322523154965559,1.06848202475676,NA,NA,NA,NA,NA,NA,NA
"zbeta1[10]",0.649953648422954,0.667465504605348,0.701503229014708,4995.2,0.95,0.206219176126204,1.04090525050376,NA,NA,NA,NA,NA,NA,NA
"zbeta1[11]",0.764965166810193,0.752376077818868,0.73414939425187,8402.7,0.95,0.318523519118301,1.25018046405443,NA,NA,NA,NA,NA,NA,NA
"zbeta1[12]",0.735878234254802,0.734007590667883,0.737665310352372,6820.7,0.95,0.346490912370804,1.17056277143992,NA,NA,NA,NA,NA,NA,NA
