"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"zbeta1[47]",0.171319357515945,0.171423,0.1753223057537,19277.3,0.95,-0.0487511,0.40097,NA,NA,NA,NA,NA,NA,NA
"zbeta1[48]",0.3441929163305,0.348391,0.371004571062952,12770,0.95,0.145952,0.54004,NA,NA,NA,NA,NA,NA,NA
"zbeta1[49]",0.011558265042283,0.0112861,0.0129101407433059,13728.6,0.95,-0.178613,0.217338,NA,NA,NA,NA,NA,NA,NA
"zbeta1[50]",0.216642588849845,0.216799,0.208365639147017,15832.8,0.95,0.00963371,0.433028,NA,NA,NA,NA,NA,NA,NA
"zbeta1[51]",0.10110909406591,0.0971029,0.0914383752428446,15411.7,0.95,-0.0361407,0.244705,NA,NA,NA,NA,NA,NA,NA
"zbeta1[52]",0.12966686025197,0.1295545,0.111551915104545,20000,0.95,-0.09474,0.374018,NA,NA,NA,NA,NA,NA,NA
"zbeta2[1]",-0.3982949286255,-0.397694,-0.390229485253069,11844,0.95,-0.596882,-0.210012,NA,NA,NA,NA,NA,NA,NA
"zbeta2[2]",-0.36648567493,-0.367413,-0.386623373575836,20383.2,0.95,-0.589202,-0.144997,NA,NA,NA,NA,NA,NA,NA
"zbeta2[3]",-0.25493054891785,-0.2543755,-0.256479428490894,13580,0.95,-0.432373,-0.0818542,NA,NA,NA,NA,NA,NA,NA
"zbeta2[4]",-0.28194814458935,-0.2794345,-0.273911443823108,16741.3,0.95,-0.450795,-0.111509,NA,NA,NA,NA,NA,NA,NA
"zbeta2[5]",-0.228065230755295,-0.2302865,-0.219342346654732,3280.4,0.95,-0.412641,-0.0231965,NA,NA,NA,NA,NA,NA,NA
"zbeta2[6]",-0.365679547285,-0.3597605,-0.352710418126984,13390.3,0.95,-0.56583,-0.177075,NA,NA,NA,NA,NA,NA,NA
"zbeta2[7]",-0.53000341808,-0.5233655,-0.511171734273135,10774.6,0.95,-0.785789,-0.295135,NA,NA,NA,NA,NA,NA,NA
"zbeta2[8]",-0.42667877273845,-0.426591,-0.423886769706574,18008.7,0.95,-0.645842,-0.201195,NA,NA,NA,NA,NA,NA,NA
"zbeta2[9]",-0.338342455038525,-0.340725,-0.335364870342968,19465.4,0.95,-0.634242,-0.0393829,NA,NA,NA,NA,NA,NA,NA
"zbeta2[10]",-0.2754853713101,-0.271765,-0.282272821436309,4638.4,0.95,-0.459253,-0.0964258,NA,NA,NA,NA,NA,NA,NA
"zbeta2[11]",-0.303295394776,-0.2946755,-0.280222942900022,10592.3,0.95,-0.484518,-0.139752,NA,NA,NA,NA,NA,NA,NA
"zbeta2[12]",-0.432390017412,-0.4338145,-0.430601577563153,17004,0.95,-0.639727,-0.20704,NA,NA,NA,NA,NA,NA,NA
"zbeta2[13]",-0.28594162194795,-0.285031,-0.288134949773986,16457.1,0.95,-0.48191,-0.0905663,NA,NA,NA,NA,NA,NA,NA
"zbeta2[14]",-0.429651689,-0.4277135,-0.424640988998901,11549.7,0.95,-0.570557,-0.296501,NA,NA,NA,NA,NA,NA,NA
"zbeta2[15]",-0.370811211415,-0.3631645,-0.349064952219449,6996.2,0.95,-0.53457,-0.21816,NA,NA,NA,NA,NA,NA,NA
"zbeta2[16]",-0.382907394685,-0.3776575,-0.363010719255141,12408,0.95,-0.558401,-0.226501,NA,NA,NA,NA,NA,NA,NA
"zbeta2[17]",-0.438907501665,-0.43982,-0.444286768635275,17203.4,0.95,-0.59658,-0.28079,NA,NA,NA,NA,NA,NA,NA
"zbeta2[18]",-0.40052048535,-0.3964075,-0.401551905442715,9475.9,0.95,-0.587877,-0.234115,NA,NA,NA,NA,NA,NA,NA
"zbeta2[19]",-0.469965821885,-0.4676745,-0.470282507644279,11753,0.95,-0.657669,-0.287595,NA,NA,NA,NA,NA,NA,NA
"zbeta2[20]",-0.45006484123,-0.449268,-0.451524365825625,14941.9,0.95,-0.666917,-0.2501,NA,NA,NA,NA,NA,NA,NA
"zbeta2[21]",-0.4714651187405,-0.4685755,-0.471095831443093,12182,0.95,-0.674108,-0.28256,NA,NA,NA,NA,NA,NA,NA
"zbeta2[22]",-0.64220685507,-0.6349935,-0.599390738108653,10059.2,0.95,-0.909317,-0.37737,NA,NA,NA,NA,NA,NA,NA
"zbeta2[23]",-0.50788471625,-0.502862,-0.492284865757467,4785.8,0.95,-0.664057,-0.36819,NA,NA,NA,NA,NA,NA,NA
"zbeta2[24]",-0.58937069855,-0.589401,-0.592769307014975,10625.9,0.95,-0.74611,-0.438244,NA,NA,NA,NA,NA,NA,NA
"zbeta2[25]",-0.3226954555296,-0.318694,-0.314022332053606,15126.3,0.95,-0.527918,-0.131515,NA,NA,NA,NA,NA,NA,NA
"zbeta2[26]",-0.43543059866,-0.436257,-0.443676772251005,10099,0.95,-0.594064,-0.278344,NA,NA,NA,NA,NA,NA,NA
"zbeta2[27]",-0.332167885117135,-0.3326005,-0.335636336715949,16786.2,0.95,-0.548138,-0.124056,NA,NA,NA,NA,NA,NA,NA
"zbeta2[28]",-0.44841304065,-0.4495385,-0.450507235772178,16395.1,0.95,-0.611586,-0.285368,NA,NA,NA,NA,NA,NA,NA
"zbeta2[29]",-0.25408050615638,-0.2542345,-0.256492918921146,16311.9,0.95,-0.475866,-0.0361863,NA,NA,NA,NA,NA,NA,NA
"zbeta2[30]",-0.569393851571,-0.572923,-0.570827056069204,14819.7,0.95,-0.83022,-0.299235,NA,NA,NA,NA,NA,NA,NA
"zbeta2[31]",-0.66519043465,-0.663571,-0.656335423488037,10863.8,0.95,-0.893664,-0.444218,NA,NA,NA,NA,NA,NA,NA
"zbeta2[32]",-0.197465866140327,-0.1929235,-0.182990898114695,15742.8,0.95,-0.422835,0.00209199,NA,NA,NA,NA,NA,NA,NA
